date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Wed Jan 27 2021, Gauger,"Bakersfield, CA",Former Employee ,Good start in the industry,0,"Can manage your days as you please. Very self-reliant.
","No cons. Driving to different leases gets old.
Helpfu",,5.0,4.0,3.0,4.0,5.0,3.0,Approves of CEO,,
Wed Jan 27 2021, Production Operator,"Shafter, CA",Former Employee ,Good,0,"Everything is good with company
","Nothing is bad with company
Helpfu",,5.0,5.0,5.0,5.0,5.0,5.0,Recommends,Positive Outlook,Approves of CEO
Fri Feb 05 2021, Accountant,"Houston, TX",Former Employee ,salary,0,"a job, it pays on payday
","a job, one always wishes for more
Advice to Management
glassdoor is forcing me to make this review in order to view reviews of other companies
Helpfu","glassdoor is forcing me to make this review in order to view reviews of other companies
Helpfu",2.0,1.0,1.0,2.0,2.0,2.0,Recommends,Neutral Outlook,Disapproves of CEO
Fri Jan 15 2021, Operations Analyst,"Houston, TX",Former Employee ,Good work place for someone looking for consistency.,0,"Easy work days, relaxed environment, Good pay and benefits, good people.
","Hard to get promoted, a lot of old school people
Helpfu",,4.0,5.0,3.0,2.0,2.0,4.0,Recommends,Positive Outlook,No opinion of CEO
Sun Jan 24 2021, Operations Supervisor,"Midland, TX",Former Employee ,"Questionable business practices, otherwise good company .",0,"Company has high Ideals at cooperate level tries to go the extra mile for the employee's
","Field management has the ""Good Ole Boy"" mentality that seems to cost them their best employee's and leaves a disconnect between the field and Cooperate.
Advice to Management
Listen to your field Supervisors they work closest with the hourly employee. Eliminate the ""Good Ole Boy"" way of operating.
Helpfu","Listen to your field Supervisors they work closest with the hourly employee. Eliminate the ""Good Ole Boy"" way of operating.
Helpfu",3.0,4.0,3.0,3.0,3.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Sat Feb 06 2021,Anonymous,,Former Employee ,Just awful,0,"Benefits are good. Pay is decent
","politics are a complete nightmare. Terrible company to work for....especially if you’re female.
Advice to Management
Nepotism is a terrible way to build a workforce
Helpfu","Nepotism is a terrible way to build a workforce
Helpfu",1.0,1.0,1.0,1.0,1.0,4.0,Doesn't Recommend,Negative Outlook,Disapproves of CEO
Mon Jan 11 2021, Operations Technician,,Current Employee ,Fair company,0,"Good schedule. Flexible. Good benifits.
","Pay. Meetings all the time. Micromanage.
Helpfu",,3.0,4.0,4.0,3.0,3.0,4.0,,,
Mon Dec 21 2020, Division Order Analyst,"Houston, TX",Former Employee ,Great company to work for.,1,"Lots of opportunity to advance.
","The business has it's ups & downs
Advice to Management
Please value workers & not age
Helpful (1","Please value workers & not age
",4.0,4.0,4.0,4.0,4.0,4.0,Recommends,Neutral Outlook,Approves of CEO
Mon Nov 30 2020, Operations Manager,"Bakersfield, CA",Former Employee ,"Great Company, Unstable Industry",0,"Great company to work for.
Benefits
Compensation
","Oil outlook
Ups and Downs
Getting shifted to Bad Managers
Helpfu",,4.0,4.0,4.0,3.0,3.0,5.0,Recommends,Negative Outlook,No opinion of CEO
Fri Nov 20 2020, Engineer,"Houston, TX",Former Employee ,Excellent organization,0,"Good colleagues, company really cares about employees
","Not much room for upward moves, but lots of lateral move opportunities
Helpfu",,4.0,4.0,5.0,2.0,3.0,5.0,Recommends,Positive Outlook,
